,device_type,user_id
0,Apple,user_4349
1,Apple,user_958
2,Apple,user_275
3,Apple,user_929
4,Apple,user_6292
5,Apple,user_5937
6,Apple,user_436
7,Apple,user_6876
8,Apple,user_5246
9,Apple,user_9529
10,Apple,user_5123
11,Apple,user_5301
12,Apple,user_5705
13,Apple,user_1663
14,Apple,user_2212
15,Apple,user_7049
16,Apple,user_2941
17,Apple,user_1629
18,Apple,user_897
19,Apple,user_5969
20,Apple,user_2855
21,Apple,user_256
22,Apple,user_6777
23,Apple,user_1007
24,Apple,user_9109
25,Apple,user_4355
26,Apple,user_9128
27,Apple,user_8260
28,Apple,user_5816
29,Apple,user_8958
30,Apple,user_482
31,Apple,user_4915
32,Apple,user_4457
33,Apple,user_2262
34,Apple,user_7639
35,Apple,user_819
36,Apple,user_2493
37,Apple,user_9647
38,Apple,user_5248
39,Apple,user_9673
40,Apple,user_3863
41,Apple,user_6078
42,Apple,user_6214
43,Apple,user_9494
44,Apple,user_3412
45,Apple,user_3074
46,Apple,user_7735
47,Apple,user_4263
48,Apple,user_8770
49,Apple,user_2864
50,Apple,user_9297
51,Apple,user_8937
52,Apple,user_4409
53,Apple,user_4846
54,Apple,user_3672
55,Apple,user_8313
56,Apple,user_9139
57,Apple,user_7182
58,Apple,user_4567
59,Apple,user_674
60,Apple,user_1775
61,Apple,user_5460
62,Apple,user_9315
63,Apple,user_2213
64,Apple,user_6784
65,Apple,user_35
66,Apple,user_7755
67,Apple,user_9033
68,Apple,user_8437
69,Apple,user_4154
70,Apple,user_2583
71,Apple,user_8611
72,Apple,user_9485
73,Apple,user_6278
74,Apple,user_2928
75,Apple,user_2544
76,Apple,user_6220
77,Apple,user_9072
78,Apple,user_5584
79,Apple,user_573
80,Apple,user_8065
81,Apple,user_3924
82,Apple,user_9182
83,Apple,user_7419
84,Apple,user_3628
85,Apple,user_396
86,Apple,user_7562
87,Apple,user_9378
88,Apple,user_2479
89,Apple,user_7414
90,Apple,user_4393
91,Apple,user_2399
92,Apple,user_3035
93,Apple,user_5571
94,Apple,user_7255
95,Apple,user_2081
96,Apple,user_4092
97,Apple,user_7710
98,Apple,user_2454
99,Apple,user_6266
100,Apple,user_9121
101,Apple,user_6294
102,Apple,user_5861
103,Apple,user_6796
104,Apple,user_5439
105,Apple,user_9060
106,Apple,user_8086
107,Apple,user_1801
108,Apple,user_9563
109,Apple,user_4730
110,Apple,user_4798
111,Apple,user_16122
112,Apple,user_13537
113,Apple,user_14576
114,Apple,user_19154
115,Apple,user_16751
116,Apple,user_18871
117,Apple,user_13801
118,Apple,user_14123
119,Apple,user_19314
120,Apple,user_14648
121,Apple,user_17728
122,Apple,user_10129
123,Apple,user_13163
124,Apple,user_17512
125,Apple,user_18444
126,Apple,user_13913
127,Apple,user_10717
128,Apple,user_17708
129,Apple,user_14267
130,Apple,user_18302
131,Apple,user_12689
132,Apple,user_11322
133,Apple,user_12759
134,Apple,user_19085
135,Apple,user_11679
136,Apple,user_15944
137,Apple,user_14581
138,Apple,user_18775
139,Apple,user_12362
140,Apple,user_19360
141,Apple,user_13992
142,Apple,user_10819
143,Apple,user_17712
144,Apple,user_19399
145,Apple,user_19374
146,Apple,user_16456
147,Apple,user_15761
148,Apple,user_16823
149,Apple,user_10759
150,Apple,user_11154
151,Apple,user_16576
152,Apple,user_18335
153,Apple,user_18425
154,Apple,user_15066
155,Apple,user_13950
156,Apple,user_15006
157,Apple,user_10905
158,Apple,user_11711
159,Apple,user_17754
160,Apple,user_19371
161,Apple,user_14016
162,Apple,user_12577
163,Apple,user_16997
164,Apple,user_15137
165,Apple,user_15317
166,Apple,user_18472
167,Apple,user_19114
168,Apple,user_13026
169,Apple,user_11083
170,Apple,user_12570
171,Apple,user_17147
172,Apple,user_10937
173,Apple,user_10885
174,Apple,user_15892
175,Apple,user_11263
176,Apple,user_12499
177,Apple,user_12830
178,Apple,user_17746
179,Apple,user_17911
180,Apple,user_16429
181,Apple,user_17251
182,Apple,user_14672
183,Apple,user_17611
184,Apple,user_17968
185,Apple,user_10756
186,Apple,user_17743
187,Apple,user_14422
188,Apple,user_18813
189,Apple,user_17239
190,Android,user_4205
191,Android,user_3417
192,Android,user_7385
193,Android,user_4150
194,Android,user_7440
195,Android,user_4182
196,Android,user_3626
197,Android,user_1591
198,Android,user_1005
199,Android,user_697
200,Android,user_8326
201,Android,user_2923
202,Android,user_2815
203,Android,user_2929
204,Android,user_8735
205,Android,user_4871
206,Android,user_9702
207,Android,user_2038
208,Android,user_58
209,Android,user_5534
210,Android,user_5137
211,Android,user_4636
212,Android,user_5278
213,Android,user_578
214,Android,user_7965
215,Android,user_4776
216,Android,user_9588
217,Android,user_6224
218,Android,user_739
219,Android,user_1360
220,Android,user_3094
221,Android,user_2652
222,Android,user_7463
223,Android,user_188
224,Android,user_102
225,Android,user_3982
226,Android,user_6618
227,Android,user_8703
228,Android,user_8276
229,Android,user_992
230,Android,user_2143
231,Android,user_2634
232,Android,user_2716
233,Android,user_6746
234,Android,user_2170
235,Android,user_5793
236,Android,user_9874
237,Android,user_4529
238,Android,user_9066
239,Android,user_9312
240,Android,user_9026
241,Android,user_9350
242,Android,user_189
243,Android,user_9189
244,Android,user_8928
245,Android,user_4837
246,Android,user_8961
247,Android,user_1976
248,Android,user_7704
249,Android,user_959
250,Android,user_183
251,Android,user_5048
252,Android,user_3884
253,Android,user_3106
254,Android,user_5057
255,Android,user_2766
256,Android,user_729
257,Android,user_4644
258,Android,user_7633
259,Android,user_2819
260,Android,user_2239
261,Android,user_7476
262,Android,user_1984
263,Android,user_9401
264,Android,user_2875
265,Android,user_6162
266,Android,user_1315
267,Android,user_7160
268,Android,user_999
269,Android,user_303
270,Android,user_7501
271,Android,user_4230
272,Android,user_8597
273,Android,user_8362
274,Android,user_9357
275,Android,user_3944
276,Android,user_4334
277,Android,user_606
278,Android,user_3300
279,Android,user_4791
280,Android,user_9742
281,Android,user_923
282,Android,user_5211
283,Android,user_5506
284,Android,user_559
285,Android,user_10118
286,Android,user_12804
287,Android,user_19212
288,Android,user_17062
289,Android,user_13366
290,Android,user_16584
291,Android,user_13770
292,Android,user_18013
293,Android,user_15310
294,Android,user_19391
295,Android,user_15955
296,Android,user_17244
297,Android,user_19295
298,Android,user_17113
299,Android,user_13738
300,Android,user_13265
301,Android,user_12453
302,Android,user_17387
303,Android,user_15322
304,Android,user_14042
305,Android,user_17267
306,Android,user_16292
307,Android,user_13529
308,Android,user_10589
309,Android,user_14973
310,Android,user_10041
311,Android,user_17562
312,Android,user_13402
313,Android,user_15990
314,Android,user_13538
315,Android,user_13730
316,Android,user_13000
317,Android,user_12223
318,Android,user_13798
319,Android,user_13431
320,Android,user_16876
321,Android,user_17327
322,Android,user_19300
323,Android,user_14521
324,Android,user_10143
325,Android,user_13459
326,Android,user_17444
327,Android,user_10656
328,Android,user_18818
329,Android,user_18249
330,Android,user_15210
331,Android,user_18303
332,Android,user_19227
333,Android,user_18733
334,Android,user_19322
335,Android,user_15669
336,Android,user_14389
337,Android,user_18449
338,Android,user_18268
339,Android,user_17566
340,Android,user_19205
341,Android,user_10949
342,Android,user_17419
343,Android,user_12009
344,Android,user_18991
345,Android,user_10304
346,Android,user_10187
347,Android,user_14634
348,Android,user_15736
349,Android,user_14912
350,Android,user_19127
351,Android,user_18593
352,Android,user_12908
353,Android,user_15381
354,Android,user_11758
355,Android,user_11001
356,Android,user_17332
357,Android,user_12394
358,Android,user_15265
359,Android,user_11022
360,Android,user_10644
361,Android,user_12757
362,Android,user_19050
363,Android,user_17402
364,Android,user_10824
365,Android,user_14473
366,Android,user_18778
367,Android,user_17700
368,Android,user_13413
369,Android,user_14884
370,Android,user_17278
371,Android,user_15774
372,Android,user_14661
373,Android,user_10935
374,Android,user_10850
375,Android,user_11329
376,Android,user_18834
377,Android,user_13460
378,Android,user_12051
379,Android,user_11860
380,Android,user_15373
381,Android,user_16255
382,Android,user_15577
383,Android,user_17423
384,Android,user_13124
385,Android,user_14842
386,Android,user_17486
387,Android,user_11055
388,Android,user_18749
389,Android,user_13180
390,Apple,user_5150
391,Apple,user_1762
392,Apple,user_2153
393,Apple,user_6523
394,Apple,user_3694
395,Apple,user_328
396,Apple,user_7821
397,Apple,user_6469
398,Apple,user_2326
399,Apple,user_5467
400,Apple,user_6462
401,Apple,user_9715
402,Apple,user_780
403,Apple,user_5877
404,Apple,user_6655
405,Apple,user_6578
406,Apple,user_264
407,Apple,user_5697
408,Apple,user_9208
409,Apple,user_7681
410,Apple,user_9281
411,Apple,user_8977
412,Apple,user_2626
413,Apple,user_3124
414,Apple,user_1839
415,Apple,user_69
416,Apple,user_3006
417,Apple,user_6056
418,Apple,user_571
419,Apple,user_2772
420,Apple,user_4161
421,Apple,user_8076
422,Apple,user_4612
423,Apple,user_9491
424,Apple,user_5193
425,Apple,user_8168
426,Apple,user_6698
427,Apple,user_1907
428,Apple,user_4789
429,Apple,user_9277
430,Apple,user_6775
431,Apple,user_5443
432,Apple,user_979
433,Apple,user_7332
434,Apple,user_2518
435,Apple,user_8998
436,Apple,user_543
437,Apple,user_3867
438,Apple,user_9127
439,Apple,user_9914
440,Apple,user_4551
441,Apple,user_9399
442,Apple,user_2443
443,Apple,user_7038
444,Apple,user_3089
445,Apple,user_8039
446,Apple,user_5680
447,Apple,user_8610
448,Apple,user_460
449,Apple,user_6792
450,Apple,user_520
451,Apple,user_2385
452,Apple,user_280
453,Apple,user_9967
454,Apple,user_3611
455,Apple,user_5489
456,Apple,user_3600
457,Apple,user_9102
458,Apple,user_6550
459,Apple,user_5158
460,Apple,user_7701
461,Apple,user_3915
462,Apple,user_6514
463,Apple,user_7675
464,Apple,user_4266
465,Apple,user_3371
466,Apple,user_8221
467,Apple,user_550
468,Apple,user_8922
469,Apple,user_1041
470,Apple,user_327
471,Apple,user_1874
472,Apple,user_5787
473,Apple,user_9879
474,Apple,user_4198
475,Apple,user_484
476,Apple,user_1966
477,Apple,user_133
478,Apple,user_2629
479,Apple,user_129
480,Apple,user_6414
481,Apple,user_9509
482,Apple,user_1636
483,Apple,user_2944
484,Apple,user_9163
485,Apple,user_3994
486,Apple,user_6242
487,Apple,user_4333
488,Apple,user_9615
489,Apple,user_9317
490,Apple,user_7387
491,Apple,user_166
492,Apple,user_9046
493,Apple,user_14738
494,Apple,user_10431
495,Apple,user_15909
496,Apple,user_16466
497,Apple,user_12680
498,Apple,user_14191
499,Apple,user_18139
500,Apple,user_12845
501,Apple,user_18954
502,Apple,user_15622
503,Apple,user_18094
504,Apple,user_10762
505,Apple,user_13576
506,Apple,user_12776
507,Apple,user_17820
508,Apple,user_12522
509,Apple,user_17657
510,Apple,user_11660
511,Apple,user_16758
512,Apple,user_10474
513,Apple,user_12555
514,Apple,user_12430
